# START:9/30/2024 10:29:40 AM APP:tmon VERSION:0.91 FILE:tmon_rn-24.csv
# Ctrl Rate(secs):6
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr
10:56:58,27.60,25.00,0.00
10:57:04,27.60,25.00,0.00
10:57:10,27.70,25.00,0.00
10:57:16,27.70,25.00,0.00
10:57:22,27.60,25.00,0.00
10:57:28,27.60,25.00,0.00
10:57:34,27.60,25.00,0.00
10:57:40,27.70,25.00,0.00
10:57:46,27.70,25.00,0.00
10:57:52,27.60,25.00,0.00
10:57:58,27.60,25.00,0.00
10:58:04,27.60,25.00,0.00
10:58:10,27.60,25.00,0.00
10:58:16,27.60,25.00,0.00
10:58:22,27.60,25.00,0.00
10:58:28,27.60,25.00,0.00
10:58:34,27.60,25.00,0.00
10:58:40,27.60,25.00,0.00
10:58:46,27.60,25.00,0.00
10:58:52,27.60,25.00,0.00
10:58:58,27.60,25.00,0.00
10:59:04,27.60,25.00,0.00
10:59:10,27.70,25.00,0.00
10:59:16,27.60,25.00,0.00
10:59:22,27.60,25.00,0.00
10:59:28,27.60,25.00,0.00
10:59:34,27.60,25.00,0.00
10:59:40,27.70,25.00,0.00
10:59:46,27.60,25.00,0.00
10:59:52,27.60,25.00,0.00
10:59:58,27.60,25.00,0.00
11:00:04,27.60,25.00,0.00
11:00:10,27.70,25.00,0.00
11:00:16,27.70,25.00,0.00
11:00:22,27.60,25.00,0.00
11:00:28,27.70,25.00,0.00
11:00:34,27.60,25.00,0.00
11:00:40,27.60,25.00,0.00
11:00:46,27.60,25.00,0.00
11:00:52,27.60,25.00,0.00
11:00:58,27.60,25.00,0.00
11:01:04,27.60,25.00,0.00
11:01:10,27.60,25.00,0.00
11:01:16,27.60,25.00,0.00
11:01:22,27.70,25.00,0.00
11:01:28,27.60,25.00,0.00
11:01:34,27.60,25.00,0.00
11:01:40,27.60,25.00,0.00
11:01:46,27.60,25.00,0.00
11:01:52,27.60,25.00,0.00
11:01:58,27.60,25.00,0.00
11:02:04,27.60,25.00,0.00
11:02:10,27.60,25.00,0.00
11:02:16,27.60,25.00,0.00
11:02:22,27.60,25.00,0.00
11:02:28,27.60,25.00,0.00
11:02:34,27.60,25.00,0.00
